Código,Nombre,1: GASTOS DE PERSONAL,2: GASTOS CORRIENTES EN BIENES Y SERVICIOS,3: GASTOS FINANCIEROS,4: TRANSFERENCIAS CORRIENTES,5: FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS,6: INVERSIONES REALES,7: TRANSFERENCIAS DE CAPITAL,8: ACTIVOS FINANCIEROS,9: PASIVOS FINANCIEROS
341,"Promoción y fomento del deporte",0,315105.00,0,402696.88,0,0,0,0,0
342,"Instalaciones deportivas",5863105.99,8165433.53,30000.00,0,0,2205000.00,0,0,0
4,"ACTUACIONES DE CARÁCTER ECONÓMICO",380811.28,614118.65,0,888000.00,0,1322695.00,0,0,0
41,"Agricultura, Ganadería y Pesca",0,0,0,0,0,0,0,0,0
410,"Administración general de agricultura, ganadería y pesca",0,0,0,0,0,0,0,0,0
412,"Mejora de las estructuras agropecuarias y de los sistemas productivos",0,0,0,0,0,0,0,0,0
414,"Desarrollo rural",0,0,0,0,0,0,0,0,0
415,"Protección y desarrollo de los recursos pesqueros",0,0,0,0,0,0,0,0,0
419,"Otras actuaciones en agricultura, ganadería y pesca",0,0,0,0,0,0,0,0,0
42,"Industria y energía",0,0,0,0,0,0,0,0,0
420,"Administración General de Industria y energía",0,0,0,0,0,0,0,0,0
422,"Industria",0,0,0,0,0,0,0,0,0
423,"Minería",0,0,0,0,0,0,0,0,0
425,"Energía",0,0,0,0,0,0,0,0,0
43,"Comercio, turismo y pequeñas y medianas empresas",0,2071.15,0,795000.00,0,0,0,0,0
430,"Administración general de comercio, turismo y pequeñas y medianas empresas",0,0,0,185000.00,0,0,0,0,0
431,"Comercio",0,500.00,0,0,0,0,0,0,0
4311,"Ferias",0,0,0,0,0,0,0,0,0
4312,"Mercados, abastos y lonjas",0,0,0,0,0,0,0,0,0
4313,"Comercio ambulante",0,500.00,0,0,0,0,0,0,0
432,"Información y promoción turística",0,1571.15,0,610000.00,0,0,0,0,0
433,"Desarrollo empresarial",0,0,0,0,0,0,0,0,0
439,"Otras actuaciones sectoriales",0,0,0,0,0,0,0,0,0
44,"Transporte público",105874.91,581447.50,0,93000.00,0,0,0,0,0
440,"Administración general del transporte",105874.91,0,0,0,0,0,0,0,0
441,"Transporte de viajeros",0,581447.50,0,93000.00,0,0,0,0,0
4411,"Transporte colectivo urbano de viajeros",0,581447.50,0,93000.00,0,0,0,0,0
4412,"Otro transporte de viajeros",0,0,0,0,0,0,0,0,0
442,"Infraestructuras del transporte",0,0,0,0,0,0,0,0,0
443,"Transporte de mercancías",0,0,0,0,0,0,0,0,0
45,"Infraestructuras",0,0,0,0,0,0,0,0,0
450,"Administración general de infraestructuras",0,0,0,0,0,0,0,0,0
452,"Recursos Hidráulicos",0,0,0,0,0,0,0,0,0
453,"Carreteras",0,0,0,0,0,0,0,0,0
454,"Caminos vecinales",0,0,0,0,0,0,0,0,0
459,"Otras infraestructuras",0,0,0,0,0,0,0,0,0
46,"Investigación, desarrollo e innovación",0,0,0,0,0,0,0,0,0
462,"Investigación y estudios relacionados con los servicios públicos",0,0,0,0,0,0,0,0,0
463,"Investigación científica, técnica y aplicada",0,0,0,0,0,0,0,0,0
49,"Otras actuaciones de carácter económico",274936.37,30600.00,0,0,0,1322695.00,0,0,0
491,"Sociedad de la información",0,0,0,0,0,1322695.00,0,0,0
492,"Gestión del conocimiento",0,0,0,0,0,0,0,0,0
